V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR,Torque,Thrust,THR/PWR,Mach,Reyn,FOM
0,0,0,0.1317,0.0552,0.191,1.339,2.23,142.601,0.151,9.921,7.094,0.32,95947,0.6907
2.16,0.0282,0.0655,0.13,0.056,0.194,1.359,2.201,144.675,0.154,9.792,6.902,0.32,96035,0.6676
4.33,0.0564,0.1273,0.1281,0.0568,0.197,1.377,2.17,146.649,0.156,9.651,6.711,0.32,96131,0.6445
6.49,0.0846,0.1856,0.1261,0.0575,0.199,1.394,2.135,148.48,0.158,9.497,6.523,0.32,96235,0.6214
8.65,0.1128,0.2404,0.1238,0.0581,0.201,1.41,2.097,150.121,0.159,9.329,6.337,0.32,96348,0.5983
10.82,0.141,0.2919,0.1214,0.0587,0.203,1.423,2.056,151.525,0.161,9.146,6.155,0.32,96470,0.5754
12.98,0.1692,0.3401,0.1188,0.0591,0.205,1.433,2.011,152.639,0.162,8.947,5.977,0.32,96600,0.5526
15.14,0.1974,0.3853,0.1159,0.0594,0.206,1.441,1.963,153.411,0.163,8.73,5.803,0.32,96741,0.53
17.31,0.2256,0.4274,0.1128,0.0595,0.206,1.444,1.91,153.786,0.163,8.496,5.633,0.32,96891,0.5076
19.47,0.2538,0.4667,0.1094,0.0595,0.206,1.444,1.853,153.714,0.163,8.243,5.468,0.32,97051,0.4853
21.63,0.282,0.5034,0.1058,0.0593,0.205,1.438,1.792,153.143,0.162,7.971,5.307,0.32,97221,0.4632
23.8,0.3102,0.5373,0.1019,0.0589,0.204,1.428,1.726,152.029,0.161,7.679,5.15,0.32,97401,0.4412
25.96,0.3384,0.5687,0.0978,0.0582,0.202,1.412,1.656,150.33,0.16,7.367,4.997,0.32,97592,0.4193
28.12,0.3667,0.5976,0.0934,0.0573,0.198,1.39,1.582,148.014,0.157,7.036,4.847,0.32,97793,0.3975
30.29,0.3949,0.624,0.0887,0.0562,0.195,1.362,1.503,145.047,0.154,6.685,4.7,0.32,98004,0.3756
32.45,0.4231,0.6478,0.0838,0.0547,0.19,1.328,1.419,141.397,0.15,6.314,4.553,0.32,98225,0.3537
34.61,0.4513,0.6689,0.0786,0.053,0.184,1.287,1.332,137.026,0.145,5.923,4.408,0.32,98457,0.3316
36.78,0.4795,0.6871,0.0732,0.0511,0.177,1.239,1.24,131.949,0.14,5.514,4.262,0.33,98699,0.3094
38.94,0.5077,0.7022,0.0676,0.0489,0.169,1.185,1.145,126.208,0.134,5.091,4.113,0.33,98952,0.2869
41.1,0.5359,0.7138,0.0618,0.0464,0.161,1.125,1.046,119.834,0.127,4.655,3.961,0.33,99214,0.2642
43.27,0.5641,0.7212,0.0559,0.0437,0.151,1.06,0.946,112.855,0.12,4.208,3.802,0.33,99487,0.2411
45.43,0.5923,0.7236,0.0498,0.0408,0.141,0.989,0.843,105.293,0.112,3.752,3.633,0.33,99770,0.2175
47.59,0.6205,0.7199,0.0436,0.0376,0.13,0.913,0.739,97.173,0.103,3.288,3.45,0.33,100063,0.1934
49.76,0.6487,0.7082,0.0374,0.0343,0.119,0.831,0.634,88.521,0.094,2.819,3.247,0.33,100366,0.1685
51.92,0.6769,0.6858,0.0311,0.0307,0.106,0.745,0.527,79.369,0.084,2.345,3.013,0.33,100679,0.1426
54.08,0.7051,0.6482,0.0248,0.027,0.094,0.655,0.42,69.751,0.074,1.87,2.734,0.33,101003,0.1156
56.25,0.7333,0.5875,0.0185,0.0231,0.08,0.561,0.314,59.713,0.063,1.395,2.383,0.33,101336,0.087
58.41,0.7615,0.4889,0.0123,0.0191,0.066,0.463,0.208,49.308,0.052,0.923,1.909,0.33,101680,0.0567
60.57,0.7897,0.3206,0.0061,0.0149,0.052,0.362,0.103,38.599,0.041,0.457,1.207,0.33,102033,0.0252
62.74,0.8179,-0.0012,0,0.0107,0.037,0.26,0,27.644,0.029,-0.001,-0.004,0.33,102394,0
