V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR,Torque,Thrust,THR/PWR,Mach,Reyn,FOM
0,0,0,0.1212,0.0509,0.089,0.93,1.39,66.031,0.105,6.184,9.55,0.24,69152,0.6607
1.67,0.0294,0.0679,0.1199,0.0518,0.09,0.947,1.375,67.191,0.107,6.117,9.283,0.24,69213,0.6387
3.34,0.0587,0.1319,0.1184,0.0527,0.092,0.963,1.358,68.334,0.109,6.042,9.016,0.24,69280,0.6166
5.01,0.0881,0.192,0.1168,0.0536,0.093,0.978,1.34,69.438,0.111,5.959,8.751,0.24,69354,0.5944
6.67,0.1175,0.2484,0.115,0.0544,0.095,0.993,1.319,70.478,0.112,5.868,8.49,0.24,69434,0.5722
8.34,0.1468,0.3011,0.113,0.0551,0.096,1.006,1.296,71.429,0.114,5.767,8.232,0.24,69522,0.55
10.01,0.1762,0.3502,0.1108,0.0558,0.097,1.018,1.271,72.262,0.115,5.655,7.98,0.24,69617,0.528
11.68,0.2055,0.396,0.1084,0.0563,0.098,1.028,1.244,72.947,0.116,5.532,7.734,0.24,69720,0.5061
13.35,0.2349,0.4385,0.1058,0.0567,0.099,1.035,1.213,73.453,0.117,5.397,7.493,0.24,69831,0.4843
15.02,0.2643,0.4779,0.1029,0.0569,0.099,1.039,1.18,73.747,0.117,5.25,7.259,0.24,69949,0.4628
16.68,0.2936,0.5143,0.0997,0.0569,0.099,1.04,1.144,73.798,0.117,5.089,7.032,0.24,70076,0.4414
18.35,0.323,0.548,0.0963,0.0568,0.099,1.036,1.105,73.575,0.117,4.915,6.811,0.24,70212,0.4201
20.02,0.3524,0.579,0.0926,0.0564,0.098,1.029,1.062,73.05,0.116,4.726,6.597,0.24,70355,0.399
21.69,0.3817,0.6073,0.0886,0.0557,0.097,1.017,1.017,72.2,0.115,4.523,6.387,0.24,70507,0.3779
23.36,0.4111,0.6331,0.0844,0.0548,0.095,1,0.968,71.006,0.113,4.305,6.183,0.24,70667,0.3569
25.03,0.4405,0.6562,0.0798,0.0536,0.093,0.978,0.916,69.451,0.111,4.074,5.981,0.24,70836,0.3358
26.69,0.4698,0.6766,0.075,0.0521,0.091,0.951,0.861,67.517,0.107,3.828,5.781,0.24,71013,0.3147
28.36,0.4992,0.694,0.0699,0.0503,0.087,0.918,0.802,65.194,0.104,3.568,5.581,0.24,71199,0.2933
30.03,0.5286,0.7083,0.0646,0.0482,0.084,0.88,0.741,62.502,0.099,3.297,5.38,0.24,71393,0.2718
31.7,0.5579,0.7189,0.0591,0.0459,0.08,0.838,0.678,59.464,0.095,3.017,5.173,0.24,71595,0.25
33.37,0.5873,0.7253,0.0535,0.0433,0.075,0.79,0.613,56.101,0.089,2.728,4.958,0.24,71805,0.2278
35.04,0.6166,0.7266,0.0477,0.0405,0.07,0.739,0.547,52.43,0.083,2.432,4.73,0.24,72024,0.2053
36.71,0.646,0.7216,0.0418,0.0374,0.065,0.683,0.479,48.467,0.077,2.131,4.484,0.24,72250,0.1821
38.37,0.6754,0.7084,0.0358,0.0341,0.059,0.623,0.411,44.229,0.07,1.827,4.211,0.24,72485,0.1583
40.04,0.7047,0.6843,0.0298,0.0307,0.053,0.56,0.341,39.734,0.063,1.519,3.898,0.24,72728,0.1337
41.71,0.7341,0.6447,0.0237,0.027,0.047,0.493,0.272,35.004,0.056,1.21,3.526,0.24,72979,0.1079
43.38,0.7635,0.5818,0.0177,0.0232,0.04,0.424,0.203,30.065,0.048,0.902,3.06,0.24,73238,0.0808
45.05,0.7928,0.4812,0.0117,0.0192,0.033,0.351,0.134,24.947,0.04,0.596,2.437,0.25,73505,0.0523
46.72,0.8222,0.3125,0.0058,0.0152,0.026,0.277,0.066,19.688,0.031,0.295,1.526,0.25,73779,0.023
48.38,0.8516,-0.0009,0,0.0111,0.019,0.202,0,14.323,0.023,-0.001,-0.004,0.25,74061,0
