Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.75,-0.3156,0.14464,0.14298,-0.0315,1,0.0162
-14.5,-1.0248,0.03605,0.03333,-0.0892,1,0.0164
-14.25,-1.0371,0.03284,0.02999,-0.0896,1,0.0166
-14,-1.0347,0.03166,0.02877,-0.0877,1,0.0169
-13.75,-1.0214,0.03117,0.02828,-0.0864,1,0.0171
-13.5,-1.007,0.0309,0.02801,-0.0848,1,0.0174
-13.25,-0.9948,0.03059,0.02769,-0.0828,1,0.0176
-13,-0.9847,0.03027,0.02735,-0.0804,1,0.0179
-12.75,-0.9771,0.02987,0.02691,-0.0777,1,0.0182
-12.5,-0.9635,0.0293,0.02628,-0.0762,0.9996,0.0186
-12.25,-0.9347,0.02845,0.02533,-0.0778,0.9981,0.0192
-12,-0.9045,0.02781,0.02458,-0.0793,0.9966,0.0196
-11.75,-0.88,0.02584,0.02237,-0.0812,0.9947,0.0201
-11.5,-0.8522,0.02475,0.02122,-0.0827,0.9932,0.0206
-11.25,-0.8218,0.02455,0.02103,-0.0837,0.991,0.021
-11,-0.7899,0.02444,0.02093,-0.085,0.9891,0.0214
-10.75,-0.7579,0.02416,0.02062,-0.0864,0.9873,0.0219
-10.5,-0.7261,0.02364,0.02003,-0.0879,0.9859,0.0225
-10.25,-0.6946,0.0228,0.01907,-0.0896,0.9846,0.0232
-10,-0.6628,0.02209,0.01823,-0.0911,0.9833,0.0237
-9.75,-0.6348,0.02188,0.01793,-0.0915,0.9791,0.0241
-9.5,-0.6138,0.01942,0.01521,-0.0919,0.9744,0.0249
-9.25,-0.5853,0.01872,0.01449,-0.0926,0.9712,0.0254
-9,-0.5602,0.01823,0.01395,-0.0924,0.9655,0.0259
-8.75,-0.5348,0.01779,0.01345,-0.0921,0.9596,0.0264
-8.5,-0.5089,0.01733,0.01294,-0.092,0.9542,0.027
-8.25,-0.4853,0.01678,0.01229,-0.0913,0.9467,0.0276
-8,-0.4604,0.01615,0.01154,-0.0908,0.9405,0.028
-7.75,-0.4358,0.01569,0.011,-0.0903,0.9326,0.0286
-7.5,-0.4099,0.01537,0.01058,-0.0899,0.9259,0.029
-7.25,-0.3842,0.015,0.01011,-0.0895,0.918,0.0293
-7,-0.3599,0.01406,0.00901,-0.0889,0.9107,0.0297
-6.75,-0.3365,0.01283,0.00769,-0.0884,0.9026,0.0304
-6.5,-0.3112,0.01219,0.00697,-0.0879,0.8951,0.0308
-6.25,-0.2852,0.01169,0.00643,-0.0876,0.887,0.0313
-5.75,-0.2325,0.0109,0.00553,-0.087,0.8711,0.0322
